channel,region,customer_segment,campaign_type,ad_spend,impressions,clicks,click_through_rate,average_order_value,discount_percent,prior_purchases,website_visits_30d,email_open_rate,days_since_last_purchase,conversion
Organic,South,Returning,Retargeting,857.23,16703,2031,0.1216,62.76,0,2,7,0.3754,22,0
Google Ads,West,Returning,Conversion,213.92,14124,652,0.0461,42.5,20,2,4,0.3707,45,1
Organic,Central,High Value,Seasonal,216.37,14558,860,0.0591,75.29,5,0,8,0.5856,33,1
Referral,South,High Value,Retargeting,506.36,4030,263,0.0652,34.23,15,2,5,0.1484,95,1
Email,North,New,Awareness,511.75,20266,2030,0.1001,102.91,15,1,5,0.0754,117,1
SMS,Central,New,Seasonal,302.09,6637,1458,0.2198,102.76,10,1,5,0.4647,39,0
Organic,North,Returning,Conversion,192.01,18879,4186,0.2217,90.65,20,1,6,0.2564,84,0
Organic,East,Returning,Awareness,270.68,16597,2695,0.1624,83.51,20,2,1,0.2632,126,0
Email,South,New,Awareness,344.19,14598,893,0.0612,56.31,0,0,5,0.5732,41,0
Google Ads,North,Returning,Retargeting,176.97,8153,2150,0.2637,81.33,20,1,3,0.2111,21,0
Instagram,West,High Value,Awareness,379.41,12682,164,0.0129,56.08,10,1,8,0.1581,72,0
SMS,North,High Value,Conversion,477.06,9881,1587,0.1606,26.93,10,4,7,0.3505,86,0
Referral,West,Returning,Awareness,138.09,12131,2229,0.1837,88.06,20,1,7,0.3303,97,1
Organic,West,Returning,Conversion,480.41,10876,252,0.0231,80.58,15,1,3,0.2021,4,0
Google Ads,North,New,Conversion,232.55,2826,239,0.0845,57.37,10,0,5,0.1725,31,0
Instagram,North,Returning,Conversion,669.83,17048,1886,0.1107,33.5,30,1,5,0.1413,26,0
Google Ads,West,New,Conversion,457.47,11635,434,0.0373,46.28,15,1,3,0.1825,65,1
Email,East,Returning,Awareness,421.87,9818,1098,0.1119,21.58,15,3,4,0.3291,31,0
Organic,North,High Value,Retargeting,302.52,9479,369,0.039,76.9,0,0,8,0.1901,128,1
Google Ads,Central,New,Conversion,909.01,13613,1215,0.0892,25.93,5,0,7,0.2718,98,0
Organic,South,New,Retargeting,261.43,7978,813,0.1019,63.74,10,0,2,0.2877,1,1
Instagram,North,New,Awareness,196.41,1852,49,0.0265,41.13,15,1,3,0.191,48,0
SMS,Central,Dormant,Awareness,236.55,13832,1139,0.0823,29.47,15,0,2,0.0502,26,0
Organic,North,Returning,Awareness,515.83,14336,2370,0.1653,62.77,20,0,9,0.4674,15,1
Organic,East,New,Conversion,341.16,11102,146,0.0132,51.32,5,1,4,0.3649,65,0
Instagram,Central,Dormant,Conversion,318.21,6834,881,0.1289,74.76,20,1,5,0.1814,23,1
Google Ads,East,Returning,Retargeting,263.3,12400,1375,0.1109,32.65,20,0,7,0.3849,25,1
Email,East,Returning,Conversion,310.53,5410,1481,0.2737,42.85,20,1,1,0.2155,27,0
Email,South,Dormant,Conversion,254.65,7377,905,0.1227,10.25,20,3,5,0.1928,64,1
Referral,North,New,Conversion,439.85,8622,410,0.0475,14.31,25,2,9,0.1823,29,0
Organic,East,New,Awareness,289.25,15798,1737,0.11,93.96,0,2,6,0.1146,2,0
SMS,Central,Returning,Conversion,238.69,10368,1241,0.1197,99.67,20,0,2,0.096,66,1
Instagram,North,New,Conversion,496.36,9985,2002,0.2005,59.85,30,1,3,0.3896,46,1
Instagram,Central,High Value,Conversion,199.55,20796,3689,0.1774,41.52,15,0,5,0.127,6,0
Google Ads,East,New,Awareness,343.38,13586,1615,0.1189,52.03,5,1,3,0.0818,16,1
Instagram,East,New,Retargeting,114.18,13525,860,0.0636,75.47,30,2,1,0.2817,31,0
Email,North,New,Seasonal,159.64,10336,1287,0.1246,47.71,0,1,3,0.3253,68,1
Google Ads,West,Returning,Awareness,274.6,9316,658,0.0706,62.75,10,0,6,0.141,12,0
Instagram,North,New,Retargeting,252.41,2161,246,0.1138,57.74,0,4,8,0.2479,128,0
Referral,South,New,Retargeting,252.23,16359,529,0.0324,46.62,10,3,7,0.2509,12,0
Google Ads,West,Dormant,Conversion,459.36,14017,1983,0.1415,47.48,10,0,2,0.4888,10,1
Organic,North,New,Retargeting,471.48,11194,1660,0.1483,63.87,10,1,8,0.355,121,0
Referral,East,Returning,Retargeting,373.99,11382,1317,0.1157,38.46,25,2,7,0.5185,103,0
Instagram,East,New,Seasonal,194.23,15313,734,0.0479,67.03,10,1,5,0.1732,12,1
Organic,North,Returning,Seasonal,309.4,5004,217,0.0433,48.57,15,1,3,0.4196,41,1
Organic,South,New,Awareness,712.66,9346,1944,0.208,60.55,25,1,5,0.255,67,0
